03 11 2020	10 05	95585	95820	95575	95740
03 11 2020	10 10	95740	95955	95680	95875
03 11 2020	10 15	95875	96000	95810	95935
03 11 2020	10 20	95935	96040	95695	95820
03 11 2020	10 25	95820	95890	95720	95850
03 11 2020	10 30	95850	96065	95755	95820
03 11 2020	10 35	95820	95870	95620	95650
03 11 2020	10 40	95650	95710	95485	95490
03 11 2020	10 45	95495	95600	95410	95590
03 11 2020	10 50	95590	95655	95460	95585
03 11 2020	10 55	95580	95870	95580	95745
03 11 2020	11 00	95740	96175	95730	96165
03 11 2020	11 05	96160	96190	95780	95820
03 11 2020	11 10	95825	96040	95810	96005
03 11 2020	11 15	96010	96075	95825	95845
03 11 2020	11 20	95840	95855	95685	95785
03 11 2020	11 25	95785	95890	95635	95835
03 11 2020	11 30	95830	95845	95400	95565
03 11 2020	11 35	95560	95600	95320	95520
03 11 2020	11 40	95520	95670	95480	95620
03 11 2020	11 45	95615	96035	95595	95945
03 11 2020	11 50	95945	96375	95865	96280
03 11 2020	11 55	96280	96295	96110	96160
03 11 2020	12 00	96165	96340	96085	96245
03 11 2020	12 05	96245	96350	96185	96285
03 11 2020	12 10	96290	96315	96185	96270
03 11 2020	12 15	96270	96400	96225	96310
03 11 2020	12 20	96310	96350	96180	96275
03 11 2020	12 25	96280	96285	96170	96215
03 11 2020	12 30	96215	96335	96175	96220
03 11 2020	12 35	96220	96260	96020	96050
03 11 2020	12 40	96045	96060	95885	96020
03 11 2020	12 45	96020	96160	95960	96115
03 11 2020	12 50	96120	96185	96015	96085
03 11 2020	12 55	96085	96130	95920	95945
03 11 2020	13 00	95945	95970	95700	95795
03 11 2020	13 05	95795	95815	95625	95690
03 11 2020	13 10	95690	95760	95610	95700
03 11 2020	13 15	95695	95740	95550	95700
03 11 2020	13 20	95695	95760	95410	95520
03 11 2020	13 25	95525	95635	95470	95495
03 11 2020	13 30	95495	95515	95245	95360
03 11 2020	13 35	95360	95630	95280	95615
03 11 2020	13 40	95615	95770	95585	95725
03 11 2020	13 45	95730	95740	95590	95660
03 11 2020	13 50	95660	95775	95605	95630
03 11 2020	13 55	95635	95790	95585	95700
03 11 2020	14 00	95705	95815	95530	95540
03 11 2020	14 05	95535	95750	95465	95715
03 11 2020	14 10	95715	95890	95690	95810
03 11 2020	14 15	95810	95850	95620	95750
03 11 2020	14 20	95745	95845	95695	95730
03 11 2020	14 25	95725	95800	95645	95770
03 11 2020	14 30	95770	95930	95705	95885
03 11 2020	14 35	95885	95930	95690	95730
03 11 2020	14 40	95730	95820	95690	95765
03 11 2020	14 45	95765	95790	95570	95625
03 11 2020	14 50	95630	95635	95360	95385
03 11 2020	14 55	95385	95480	95340	95400
03 11 2020	15 00	95405	95550	95345	95495
03 11 2020	15 05	95495	95780	95435	95755
03 11 2020	15 10	95755	96130	95745	96125
03 11 2020	15 15	96125	96185	96030	96095
03 11 2020	15 20	96100	96105	95880	96010
03 11 2020	15 25	96005	96035	95795	95810
03 11 2020	15 30	95810	95910	95585	95660
03 11 2020	15 35	95665	95735	95445	95555
03 11 2020	15 40	95560	95640	95505	95620
03 11 2020	15 45	95620	95690	95480	95500
03 11 2020	15 50	95505	95600	95385	95450
03 11 2020	15 55	95450	95460	95135	95205
03 11 2020	16 00	95205	95450	95165	95360
